PERMNO,date,TICKER,PRC,RETX
29890,2008/06/11,BP,69.88000,0.020146
29890,2008/06/12,BP,69.13000,-0.010733
29890,2008/06/13,BP,68.40000,-0.010560
29890,2008/06/16,BP,68.88000,0.007017
29890,2008/06/17,BP,69.70000,0.011905
29890,2008/06/18,BP,68.57000,-0.016212
29890,2008/06/19,BP,67.42000,-0.016771
29890,2008/06/20,BP,67.35000,-0.001038
29890,2008/06/23,BP,68.07000,0.010690
29890,2008/06/24,BP,67.27000,-0.011753
29890,2008/06/25,BP,68.83000,0.023190
29890,2008/06/26,BP,67.95000,-0.012785
29890,2008/06/27,BP,67.78000,-0.002502
29890,2008/06/30,BP,69.57000,0.026409
29890,2008/07/01,BP,68.17000,-0.020124
29890,2008/07/02,BP,65.54000,-0.038580
29890,2008/07/03,BP,66.34000,0.012206
29890,2008/07/07,BP,66.45000,0.001658
29890,2008/07/08,BP,65.87000,-0.008728
29890,2008/07/09,BP,64.45000,-0.021558
29890,2008/07/10,BP,64.90000,0.006982
29890,2008/07/11,BP,64.53000,-0.005701
29890,2008/07/14,BP,64.32000,-0.003254
29890,2008/07/15,BP,62.31000,-0.031250
29890,2008/07/16,BP,61.62000,-0.011074
29890,2008/07/17,BP,61.51000,-0.001785
29890,2008/07/18,BP,62.40000,0.014469
29890,2008/07/21,BP,62.99000,0.009455
29890,2008/07/22,BP,62.96000,-0.000476
29890,2008/07/23,BP,61.96000,-0.015883
29890,2008/07/24,BP,60.92000,-0.016785
29890,2008/07/25,BP,61.57000,0.010670
29890,2008/07/28,BP,61.80000,0.003736
29890,2008/07/29,BP,60.24000,-0.025243
29890,2008/07/30,BP,62.09000,0.030710
29890,2008/07/31,BP,61.44000,-0.010469
29890,2008/08/01,BP,61.20000,-0.003906
29890,2008/08/04,BP,60.20000,-0.016340
29890,2008/08/05,BP,60.23000,0.000498
29890,2008/08/06,BP,61.59000,0.022580
29890,2008/08/07,BP,61.34000,-0.004059
29890,2008/08/08,BP,60.02000,-0.021519
29890,2008/08/11,BP,60.24000,0.003665
29890,2008/08/12,BP,60.97000,0.012118
